"Artifact ID","Title","Description","Submitted By","Submitted On","Last Modified","Closed","Group","Status","Category","Priority","Assigned To","In code","Item Link"
"artf1216","StartOS() shall return to caller on shut down","StartOS() shall return to the caller when the OS is shut down. This is an extension to OSEK defined behaviour and not contained in the OS spec. [OSEK133].","Ken Tindell","03/08/2007 1:14 PM","02/29/2008 6:01 PM","02/29/2008 6:01 PM","OSEK OS","Replaced","","4","None","Yes","http://10.211.55.3/sf/go/artf1216/"
"artf1182","E_OS_RESOURCE returned from WaitEvent()","WaitEvent() shall in extended status return E_OS_RESOURCE if the calling task occupies non-internal resources. See 13.5.3.4 p62 (doc1002). [OSEK099]","Ken Tindell","03/08/2007 12:42 PM","01/09/2008 8:19 PM","01/09/2008 8:19 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1182/"
"artf1113","Error hook is called if error in internal services","The error hook shall be called if an error is detected during task activation or event setting by internal services such as alarm expiry or message reception. See 11.2 p40 and 13.8.2.1 p68 (doc1002). [OSEK029]
","Ken Tindell","03/08/2007 11:33 AM","02/10/2008 10:37 PM","02/10/2008 10:37 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1113/"
"artf1185","GetAlarmBase() shall in standard status always return E_OK","GetAlarmBase() shall in standard status always return E_OK. See 13.6.3.1 p63 (doc1002). [OSEK102]","Ken Tindell","03/08/2007 12:44 PM","02/05/2008 2:08 PM","02/05/2008 2:08 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1185/"
"artf1159","E_OS_NOFUNC returned from ReleaseResource()","ReleaseResource() shall in extended status return E_OS_NOFUNC if the resource is not occupied or if a different resource should be released to conform to the stacking of resources as described in 8.2 (doc1002). See also 13.4.3.2 p59. [OSEK076]","Ken Tindell","03/08/2007 12:28 PM","01/09/2008 8:19 PM","01/09/2008 8:19 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1159/"
"artf1166","E_OS_STATE returned from SetEvent()","SetEvent() shall in extended status return E_OS_STATE if the specified task is in the SUSPENDED state. See 13.5.3.1 p60 (doc1002). [OSEK083]","Ken Tindell","03/08/2007 12:32 PM","01/09/2008 8:19 PM","01/09/2008 8:19 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1166/"
"artf1164","E_OK returned from SetEvent()","SetEvent() shall in standard status return E_OK. See 13.5.3.1 p60 (doc1002). [OSEK081]","Ken Tindell","03/08/2007 12:30 PM","01/09/2008 8:19 PM","01/09/2008 8:19 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1164/"
"artf1194","E_OS_ID returned from SetRelAlarm()","SetRelAlarm() shall in extended status return E_OS_ID if the alarm is invalid. [OSEK111].
","Ken Tindell","03/08/2007 12:56 PM","01/24/2008 5:50 PM","01/24/2008 5:50 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1194/"
"artf1189","E_OS_ID returned from GetAlarm()","GetAlarm() shall in extended status return E_OS_ID if the given alarm is invalid. See 13.6.3.2 p63 (doc1002). [OSEK106]
","Ken Tindell","03/08/2007 12:47 PM","01/24/2008 5:50 PM","01/24/2008 5:50 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1189/"
"artf1204","E_OS_ID returned from CancelAlarm()","CancelAlarm() shall in extended status return E_OS_ID if the alarm is invalid. [OSEK121]
","Ken Tindell","03/08/2007 1:01 PM","01/24/2008 5:54 PM","01/24/2008 5:54 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1204/"
"artf1186","E_OS_ID returned from GetAlarmBase()","GetAlarmBase() shall in extended status return E_OS_ID if the given alarm is invalid. See 13.6.3.1 p63 (doc1002). [OSEK103].","Ken Tindell","03/08/2007 12:45 PM","01/24/2008 5:54 PM","01/24/2008 5:54 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1186/"
"artf1327","E_OS_ID returned from SetAbsAlarm()","E_OS_ID returned from SetAbsAlarm() if the handle passed is invalid. See 13.6.3.4 doc1002.","Ken Tindell","03/15/2007 3:57 PM","01/24/2008 5:54 PM","01/24/2008 5:54 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1327/"
"artf1063","E_OS_ID returned from IncrementCounter()","If the input parameter <CounterID> is not valid OR the counter is a hardware counter, IncrementCounter() shall return E_OS_ID. [OS285]","Ken Tindell","03/05/2007 10:25 PM","01/24/2008 5:54 PM","01/24/2008 5:54 PM","AUTOSAR OS 2.0","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1063/"
"artf1328","E_OS_ID returned from ExpireCounter()","E_OS_ID returned from ExpireCounter() if counter ID invalid. ExpireCounter() is an extension to AUTOSAR/OSEK.","Ken Tindell","03/15/2007 4:12 PM","01/24/2008 5:54 PM","01/24/2008 5:54 PM","AUTOSAR OS 2.0","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1328/"
"artf1208","Alarm callback declarations","An alarm callback function shall be declared according to 13.6.5 p66 (doc1002). [OSEK125]

Replaced: Duplicate of artf1108.","Ken Tindell","03/08/2007 1:08 PM","03/15/2007 4:28 PM","03/15/2007 4:28 PM","OSEK OS","Replaced","","4","None","No","http://10.211.55.3/sf/go/artf1208/"
"artf1112","Error hook must not be called recursively","The error hook shall not be called recursively notwithstanding other requirements. See 11.2 p40 (doc1002). [OSEK028]
","Ken Tindell","03/08/2007 11:32 AM","01/09/2008 8:22 PM","01/09/2008 8:22 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1112/"
"artf1141","GetTaskState() behaviour","GetTaskState() shall indicate the state of the specified task with defined constants (RUNNING, READY, WAITING, SUSPENDED) and shall be callable from tasks, category 2 ISR, the error hook, and the pre/post task hooks. [OSEK057]","Ken Tindell","03/08/2007 11:51 AM","01/09/2008 8:19 PM","01/09/2008 8:19 PM","OSEK OS","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1141/"
"artf1064","IncrementCounter() processing","If its input parameter is valid, IncrementCounter() shall increment the counter <CounterID> by one (if any alarm connected to this counter expires, the given action, e.g. task activation, is done) and shall return E_OK. [OS286]
","Ken Tindell","03/05/2007 10:25 PM","01/24/2008 5:56 PM","01/24/2008 5:56 PM","AUTOSAR OS 2.0","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1064/"
"artf1049","Interrupt enable on termination","If a task returns from the entry function without making a TerminateTask() or ChainTask() call and interrupts are still disabled, the Operating System shall enable them. [OS239]
","Ken Tindell","03/05/2007 10:08 PM","02/09/2008 6:16 PM","02/09/2008 6:16 PM","AUTOSAR OS 2.0","Tested","","4","None","Yes","http://10.211.55.3/sf/go/artf1049/"
