"Artifact ID","Title","Description","Submitted By","Submitted On","Last Modified","Closed","Group","Status","Category","Priority","Assigned To","In code","Item Link"
"artf1375","OS424","OS424: The first call to StartOS() (for starting the Operating System) shall not return. ","Ken Tindell","02/07/2008 9:56 PM","02/29/2008 6:05 PM","","AUTOSAR OS 3.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1375/"
"artf1376","OS425","OS425:  If ShutdownOS() is called and ShutdownHook() returns then the operating system shall disable all interrupts and enter an endless loop. ","Ken Tindell","02/07/2008 9:57 PM","02/29/2008 6:11 PM","","AUTOSAR OS 3.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1376/"
"artf1371","OS412","OS412: The OS shall process all task activations on an expiry point first and then set events.","Ken Tindell","02/07/2008 9:54 PM","02/26/2008 2:44 PM","","AUTOSAR OS 3.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1371/"
"artf1366","OS407","OS407: An expiry point shall activate at least one task OR set at least one event","Ken Tindell","02/07/2008 9:52 PM","02/27/2008 11:41 AM","","AUTOSAR OS 3.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1366/"
"artf1207","OSTICKDURATION generated","The constant OSTICKDURATION shall be generated that indicates in integer nanoseconds the duration of the system counter tick. [OSEK124]
","Ken Tindell","03/08/2007 1:04 PM","03/15/2007 7:51 PM","","OSEK OS","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1207/"
"artf1344","OS358: Schedule tables","OS358: The Operating System shall provide a service to start the processing of a schedule table at an absolute value “Start” on the underlying counter. (The Initial Expiry Point shall be processed when the value of the underlying counter equals Start + InitialOffset). 

","Ken Tindell","02/07/2008 9:36 PM","02/27/2008 11:56 AM","","AUTOSAR OS 3.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1344/"
"artf1345","OS359: Schedule tables","OS359: The Operating System shall provide a service to query the state of a schedule table.","Ken Tindell","02/07/2008 9:37 PM","02/27/2008 12:00 PM","","AUTOSAR OS 3.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1345/"
"artf1330","Dynamic flag API","Dynamic counterparts to the flag API (artf1280 artf1282) shall be provided. These are compatible with the static versions; see wiki1027.","Ken Tindell","03/15/2007 8:17 PM","03/15/2007 8:17 PM","","OSEK COM","Open","","4","None","","http://10.211.55.3/sf/go/artf1330/"
"artf1256","The RTOS shall implement zero length internal messages.","The RTOS shall implement zero length internal messages. An extension to the OSEK COM spec.","Ken Tindell","03/08/2007 6:58 PM","03/15/2007 2:44 AM","","OSEK COM","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1256/"
"artf1075","E_OS_ID returned from NextScheduleTable()","If schedule table <ScheduleTableID_next> is driven by different counter than schedule table <ScheduleTableID_current> than shall return an error E_OS_ID. [OS330]","Ken Tindell","03/05/2007 10:33 PM","03/15/2007 3:42 PM","","AUTOSAR OS 2.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1075/"
"artf1079","E_OS_ID returned from StartScheduleTableAbs()","If the schedule table <ScheduleTableID> is not valid, StartScheduleTable() shall return E_OS_ID. [OS348]","Ken Tindell","03/05/2007 10:39 PM","03/15/2007 3:43 PM","","AUTOSAR OS 2.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1079/"
"artf1053","E_OS_ID returned from StartScheduleTableRel()","If the schedule table <ScheduleTableID> is not valid, StartScheduleTable() shall return E_OS_ID. [OS275]
","Ken Tindell","03/05/2007 10:11 PM","03/15/2007 3:43 PM","","AUTOSAR OS 2.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1053/"
"artf1361","OS399","OS399: The OS shall provide an API call to increment a software counter. ","Ken Tindell","02/07/2008 9:49 PM","02/27/2008 12:09 PM","","AUTOSAR OS 3.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1361/"
"artf1082","StartScheduleTableAbs() processing","If its input parameters are valid, StartScheduleTable() shall start the processing of schedule table <ScheduleTableID> at its first expiry point after the underlaying counter reaches <Tickvalue>. [OS351]

Derived from artf1078.","Ken Tindell","03/08/2007 10:54 AM","03/15/2007 4:33 PM","","AUTOSAR OS 2.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1082/"
"artf1078","Schedule table processing","The Operating System shall provide a service to start the processing of a schedule table at the first expiry point at an absolute time on the underlying counter (The first expiry point shall be processed wmatches the value specified by the service). [OS347]

See also artf1082.
","Ken Tindell","03/05/2007 10:39 PM","03/15/2007 4:35 PM","","AUTOSAR OS 2.0","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1078/"
"artf1291","E_COM_ID returned from ReceiveMessage()","ReceiveMessage() shall in extended status return E_COM_ID if the message is invalid, the message is configured as a send message, the message is dynamic length, or the message is zero length. See 2.9.2.4.2 p51 doc1004.
","Ken Tindell","03/08/2007 7:20 PM","03/15/2007 4:44 PM","","OSEK COM","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1291/"
"artf1285","E_COM_ID returned from SendMessage()","SendMessage() shall in extended status return E_COM_ID if the message is invalid, the message is a dynamic length message, or a zero length message. See 2.9.2.4.1 p50 (doc1004).","Ken Tindell","03/08/2007 7:16 PM","03/15/2007 4:45 PM","","OSEK COM","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1285/"
"artf1273","E_COM_ID returned from StartCOM()","StartCOM() shall in extended status return E_COM_ID if the specified COM application mode is out of range. See 2.9.2.2.1 p45 (doc1004).","Ken Tindell","03/08/2007 7:10 PM","03/15/2007 4:46 PM","","OSEK COM","Open","","4","None","Yes","http://10.211.55.3/sf/go/artf1273/"
